CMPCODE|CUSTID|DOCTYPE|DOCSUBTYPE|DOCNUM|SOURCESYS|INVOICEREF|GLACCT|DOCDATE|POSTDATE|K84DATE|CLEARDATE|DOCDESC|XACTREF|CUSTREF|EXTREF5|DOCCURR|HOMECURR|DUALCURR|NORMCURR|ORGVAL_DOC|ORGVAL_HOME|ORGVAL_DUAL|ORGVAL_NORM|OPENVAL_DOC|OPENVAL_HOME|OPENVAL_DUAL|OPENVAL_NORM
U125|961421001|SALE-INV-USD|INV|6798220|SmartBorder|138538558|112121|2016-03-04|2016-03-05||||30071112741|8580  PO 518767 LSL||USD|USD||USD|35.4|35.4||35.4|35.4|35.4||35.4
U125|921294001|SALE-INV-USD|INV|6798663|SmartBorder|138539080|112121|2016-03-04|2016-03-05||||30075407493|||USD|USD||USD|7.3|7.3||7.3|7.3|7.3||7.3
U125|919366001|SALE-INV-USD|INV|6798675|SmartBorder|138539091|112121|2016-03-04|2016-03-05||||30071117484|11137||USD|USD||USD|32|32||32|32|32||32
C310|101029160|SALE-INV-CDN|INV|22239505|LOCUS|451369651|112111|2016-03-04|2016-03-05||||10827690643372|GDM1762||CAD|CAD||USD|10.11|10.11||7.54|10.11|10.11||7.54
C310|227800010|SALE-INV-CDN|INV|22241985|LOCUS|458827876|112111|2016-03-04|2016-03-05||||10827689588373|FEB2016||CAD|CAD||USD|29.08|29.08||21.69|29.08|29.08||21.69
C310|227800010|SALE-INV-CDN|INV|22241987|LOCUS|458827980|112111|2016-03-04|2016-03-05||||10827689901909|10231544||CAD|CAD||USD|32.14|32.14||23.97|32.14|32.14||23.97
C310|349675100|SALE-INV-CDN|INV|22243875|LOCUS|426248784|112111|2016-03-04|2016-03-05||||10827911681448|D101943944||CAD|CAD|USD|USD|0.28|0.28|0.22|0.22|0.28|0.28|0.22|0.22
C165|331761020|SALE-INV-CDN|INV|707177|LOCUS|815816501|112111|2016-03-04|2016-03-05||||10827174315198|6000060439||CAD|CAD||USD|27.98|27.98||20.87|27.98|27.98||20.87
C165|333050010|SALE-INV-CDN|INV|707179|LOCUS|815818994|112111|2016-03-04|2016-03-05||||10827690642952|NA||CAD|CAD||USD|56.46|56.46||42.11|56.46|56.46||42.11
C310|162256010|SALE-INV-CDN|INV|22238139|LOCUS|310023418|112111|2016-03-04|2016-03-05||||10827690044015|DC127497||CAD|CAD|USD|USD|12.65|12.65|10.08|10.08|12.65|12.65|10.08|10.08
C310|165548010|SALE-INV-CDN|INV|22243351|LOCUS|410740631|112111|2016-03-04|2016-03-05||||10827911748868|114456702236||CAD|CAD|USD|USD|1.69|1.69|1.32|1.32|1.69|1.69|1.32|1.32
C310|152183010|SALE-INV-CDN|CN|22245869|LOCUS|310015975|112111|2016-03-04|2016-03-05||||10827961121456|1315627||CAD|CAD||USD|-58.26|-58.26||-43.45|-58.26|-58.26||-43.45
